****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 19x7379
Performing five EM steps to prime main algorithm
132 (QN/Block) 	Elapsed: 0.361	Loglikelihood: -60729.5	(delta): -0.0340396
133 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60727.2	(delta): 2.3357
134 (QN/Block) 	Elapsed: 0.281	Loglikelihood: -60725.8	(delta): 1.3553
135 (QN/Block) 	Elapsed: 0.308	Loglikelihood: -60723.9	(delta): 1.93604
136 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60719.7	(delta): 4.14767
137 (QN/Block) 	Elapsed: 0.429	Loglikelihood: -60717.3	(delta): 2.47547
138 (QN/Block) 	Elapsed: 0.315	Loglikelihood: -60724	(delta): -6.69831
139 (QN/Block) 	Elapsed: 0.32	Loglikelihood: -60732.1	(delta): -8.13781
140 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60726.3	(delta): 5.77746
141 (QN/Block) 	Elapsed: 0.317	Loglikelihood: -60727.7	(delta): -1.39201
142 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60727.6	(delta): 0.107687
143 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60726.4	(delta): 1.1499
144 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60725.6	(delta): 0.81038
145 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -60724.4	(delta): 1.18863
146 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -60722.9	(delta): 1.56142
147 (QN/Block) 	Elapsed: 0.542	Loglikelihood: -60728.1	(delta): -5.23107
148 (QN/Block) 	Elapsed: 0.551	Loglikelihood: -60726.9	(delta): 1.21235
149 (QN/Block) 	Elapsed: 0.554	Loglikelihood: -60732	(delta): -5.13551
150 (QN/Block) 	Elapsed: 0.455	Loglikelihood: -60727	(delta): 5.00998
151 (QN/Block) 	Elapsed: 0.29	Loglikelihood: -60726.5	(delta): 0.480697
152 (QN/Block) 	Elapsed: 0.312	Loglikelihood: -60724.5	(delta): 2.04631
153 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -60723.2	(delta): 1.27315
